source_id,name,status,records,basis,available_instead,artifact,gets,reason
AS-1,CEPE (European paints association),assoc,0 product records (not a register),association landing page live,member list https://www.cepe.org,,1,
AS-2,EU Ecolabel Product Catalogue (ECAT),delivered,"100 rows (sample of 17,013 distinct register products)",reused csv-sample.20260915-000230.AS-2.csv,,csv-sample.20260915-000230.AS-2.csv,0,
AS-3,Nordic Swan Ecolabel product database,delivered,"100 rows (sample of 2,322 distinct register products)",reused csv-sample.20260915-000230.AS-3.csv,,csv-sample.20260915-000230.AS-3.csv,0,
AS-4,Blue Angel (Blauer Engel),records,≈70000 (estimated),"estimate from visible page text (products) on https://www.blauer-engel.de/en/products, accessed 2026-09-15",the register's web interface,,5,
AS-5,INIES (French EPD register),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://www.inies.fr/export); count not visible on the landing page,per-product FDES declarations behind registration (auth-gated API; TODOS.md user action),,5,
AS-6,IBU (Institut Bauen und Umwelt EPD),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://ibu-epd.com/en/export); count not visible on the landing page,per-product EPD downloads via the library search,,5,
AS-7,environdec (International EPD System),records,≈2025 (estimated),"estimate from visible page text (EPD) on https://environdec.com/library, accessed 2026-09-15",per-product EPD downloads via the library search,,5,
AS-8,NF Environnement (AFNOR Certification),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): html at https://certification.afnor.org/marque/nf-environnement/export); count not visible on the landing page,certified-product PDF lists (NF 130 peintures/vernis section),,5,
AS-9,natureplus quality label,unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://www.natureplus.org/export); count not visible on the landing page,a web product database (natureplus.org) without a bulk export,,5,
AS-10,EPD Norway (EPD-Norge / EPD-Global),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://digi.epd-norge.no/export); count not visible on the landing page,per-product EPD downloads via the digi portal,,5,
AS-11,FCiO (Austrian paints association),assoc,0 product records (not a register),association landing page live,member list https://fcio.at,,1,
AS-12,IVP Coatings (Belgian paints association),assoc,,site unreachable at probe time,https://ivp-coatings.be,,1,
AS-13,Dansk Industri — paint section (DK),assoc,0 product records (not a register),association landing page live,member list https://danskindustri.dk,,1,
AS-14,Varieteollisuus (Finnish paints association),assoc,0 product records (not a register),association landing page live,member list https://variteollisuus.fi,,1,
AS-15,FIPEC (French paints federation),assoc,0 product records (not a register),association landing page live; members visible,member list https://fipec.org,,1,
AS-16,VdL (German paints association),assoc,0 product records (not a register),association landing page live; members visible,member list https://wirsindfarbe.de,,1,
AS-17,VdMI (German printing-ink association),assoc,0 product records (not a register),association landing page live,member list https://vdmi.de,,1,
AS-18,Hellenic Coatings (GR),assoc,0 product records (not a register),association landing page live,member list https://hellenicoatings.gr,,1,
AS-19,MAFEOSZ (Hungarian paints association),assoc,,site unreachable at probe time,https://mafeosz.hu,,1,
AS-20,IDSCA (Irish decorative paints association),assoc,0 product records (not a register),association landing page live,member list https://idsca.ie,,1,
AS-21,AVISA (Italian paints association),assoc,0 product records (not a register),association landing page live,member list https://avisa.federchimica.it,,1,
AS-22,Assovernici (Italian varnish makers),assoc,0 product records (not a register),association landing page live,member list https://assovernici.it,,1,
AS-23,VVVF (Dutch paints association),assoc,0 product records (not a register),association landing page live,member list https://vvvf.nl,,1,
AS-24,MALINGOGLAKK (Norwegian paints association),assoc,,site unreachable at probe time,https://malingoglakk.no,,1,
AS-25,PZPFiK (Polish paints association),assoc,0 product records (not a register),association landing page live,member list https://pzpfik.pl,,1,
AS-26,APINTAS (Portuguese paints association),assoc,0 product records (not a register),association landing page live,member list https://aptintas.pt,,1,
AS-27,AIVR (Romanian paints association),assoc,0 product records (not a register),association landing page live,member list https://aivr.ro,,1,
AS-28,ASEFAPI (Spanish paints association),assoc,0 product records (not a register),association landing page live,member list https://asefapi.es,,1,
AS-29,SVFF (Swedish paints association),assoc,0 product records (not a register),association landing page live,member list https://sveff.se,,1,
AS-30,EuACA (European artists' colours association),assoc,0 product records (not a register),association landing page live,member list https://artists-colours.org,,1,
AS-31,KemiDigi (Finnish Chemical Products Register),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): html at https://www.kemidigi.fi/export); count not visible on the landing page,the public register search + per-product record pages (enumerability unproven),,5,
AS-32,WINGIS Online (BG BAU / GISBAU GefKomm-Bau),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://www.wingisonline.de/export); count not visible on the landing page,the online search per manufacturer/GISCODE product group (no documented bulk export),,5,
AS-33,BASTA online (construction products SE),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://www.bastaonline.se/export); count not visible on the landing page,an article-level database behind web search (API under agreement),,5,
AS-34,eBVD (building-product declarations SE),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): HTTP 404 at https://www.ebvd.org/export); count not visible on the landing page,a structured-declaration API (free after agreement — no unpaid bulk route),,5,
AS-35,Quick-FDS (SDS discovery FR/EU),unavailable,unknown,no export endpoint found after <=5 bounded GETs (last: 5 GET(s): html at https://www.quickfds.com/export); count not visible on the landing page,a supplier SDS discovery catalogue (crawl/export terms pending),,5,
AS-36,ECHA Biocidal Products — PT21 antifouling (marine coatings),failed,,,,,,network failure on the pinned URL: https://echa.europa.eu/robots.txt: HTTP 403
