product_or_service,licence_number,group_name,code_type,code_value,product_or_service_name,decision,expiration_date,company_name,company_country,vat_number,extract_date,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,8021704372318,Decor Paint_4 L_KK31-4L,2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,1
PRODUCT,FR/044/048,"Decorative paints, varnishes, and related products (2014 criteria)",,,Algo Déco Velours  ALGO DECO   rose aurore,2014/312/EU,2027-06-17,ALGO PAINT,France,FR74812243327,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,2
PRODUCT,FR/044/023,"Decorative paints, varnishes, and related products (2014 criteria)",,,Multisuperficie Pintura Muebles Satinado  LUXENS  FOG 6,2014/312/EU,2027-06-17,RENAULAC,France,FR35394144893,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,3
PRODUCT,PL/044/002,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,5903973201861,MAGNAT CERAMIC - ceramiczna farba do wnętrz Subtelny Cytryn,2014/312/EU,2027-06-17,FABRYKA FARB I LAKIERÓW ŚNIEŻKA,Poland,8181433438,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,4
PRODUCT,FR/044/008,"Decorative paints, varnishes, and related products (2025 criteria)",,,Lazura Zewnetrzna  LUXENS  Chêne moyen,2025/2607,2032-12-31,V33,France,FR88305690158,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,5
PRODUCT,FR/044/020,"Decorative paints, varnishes, and related products (2014 criteria)",,,Esprit Déco Satin Ripolin RIPOLIN beige wes,2014/312/EU,2027-06-17,PPG AC France,France,FR56572093243,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,6
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",EAN13,8021704374411,Decor Paint_10 L_KK41-10L,2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,7
PRODUCT,IT/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,"Decor Paint_0,25 L_KK127-0,25L",2014/312/EU,2027-06-17,Kerakoll Spa,Italy,,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,8
PRODUCT,BE/044/007,"Decorative paints, varnishes, and related products (2014 criteria)",,,PRODUITS : Finish Aqua Matt wall and ceiling paint  BASE :  Base W = base blanche COLORANT : SF.JV = Jaune Vif CONTENANT :  15L,2014/312/EU,2027-06-17,Ets GUILMIN SA,Belgium,BE0404.356.574,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,9
PRODUCT,FR/044/028,"Decorative paints, varnishes, and related products (2014 criteria)",,,Algo-Pro Mat  ALGO-PRO par Théolaur Peintures  BTF  1L,2014/312/EU,2027-06-17,theolaur peinture,France,FR36401971015,2026-09-14,AS-2,probe-20260914-as2csvsample,2026-09-14,86d8ec89221d27468a4c5c868abe0211a5c3018bdf743aa125538b51b9ffa35f,42,10
