product,license number,ecolabel,category,product group,criteria generation,brand,licensee,address,city,source_id,run_key,retrieval_date,doc_hash,sample_seed,sample_index
"Colorex Eminent 2, Takfärg Vit","3096 0045, 3096 0007",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Colorex,Hagmans Nordic AB (Fritsla),Box 112,Fritsla,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,1
Beckers Front Akrylatfärg Max White,"3096 0001, 3096 0001",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Beckers,Tikkurila Sverige AB,Textilgatan 31,Stockholm,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,2
"Flügger Interior Strong Finish 40 Base 4, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Exterior paint (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,3
"Flügger Interior High Finish 20 Bas 6, 0,7 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,4
"Flügger Flutex Pro 10 Base 4, 9,1 l (50329)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,5
"DYRUP Væg Ekstra Dækkende 5 Base 10, 4,5 l",DK/044/003,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Dyrup,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,6
"Clas Ohlson Väggfärg 7 Pure White, 10 l","SE/044/007, SE/044/007",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Clas Ohlson,Clas Ohlson AB,Clas Ohlsons väg,INSJÖN,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,7
"Yunik Pro Trim Paint Acryl+ 35 Base AA, 0,7 l (21211)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Yunik,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,8
CanCan Supermatt Takfärg bas A,2096 0018,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,CANCAN,Gjøco AS,Ørveien 1160,Torvikbukt,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,9
Nordsjö TINOVA DOOR & WINDOW Base Clear,"3096 0051, 3096 0003",Nordic Swan Ecolabel,.,096 Paints and varnishes,4,Nordsjö,Akzo Nobel Decorative Coatings AB,Staffantorpsvägen 50,MALMÖ,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,10
Beckers It's Easy Matt Wall Paint Sundborn 743,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,11
Beckers It's Easy Matt Wall Paint Cream 587,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,12
"CELLO FEEL Helmatt interiörfärg BAS3, 2,7 l",4096 0019,Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Cello,Kesko Oyj,Työpajankatu 12,KESKO,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,13
"Flügger Flutex 7S+ Bas 4, 2,8 l","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,14
"Flügger Flutex Pro 7 Base 3, 9,1 l (30817)","SE/044/002, SE/044/002",EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Flügger,Flügger Group A/S,Islevdalvej 151,Rødovre,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,15
"Sigmacryl 5 Matt RH822, 10 l",DK/044/003,EU Ecolabel,Indoor paints (EU-Ecolabel),"EU44 Decorative paints, varnishes, and related products",1,Sigma,PPG Coatings Danmark A/S,Gladsaxevej 300,Søborg,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,16
Beckers Interio Väggfärg 10 White,"4096 0001, 4096 0027",Nordic Swan Ecolabel,Indoor paints.,096 Paints and varnishes,4,Beckers,Tikkurila Oyj,Heidehofintie 2,Vantaa,AS-3,probe-20260915-as3csvsample,2026-09-15,74e79faca248e27cb8fd672235a4947efb842ee3640646ea9d4ca6254f3a2736,42,17
